,MAE,RMSE,MAPE,R2,peak_rmse,peak_mae
PatchTST,0.30379837399045656,0.37781343603699563,100.82094958851346,-4.7771032727350615e-06,0.7798273909993407,0.7767409033466351
NHITS,0.055388029613961484,0.0769697389757569,161.03235232458763,0.9584962531785551,0.14028469705125068,0.10294881140529931
策略A (静态优化权重),0.05538802952386629,0.07696973891879752,161.0323530535351,0.9584962532399826,0.1402846996195934,0.10294881304568881
策略B (广义线性融合),0.07112851360277198,0.0948992108933841,208.02317837549614,0.9369082636174884,0.1983591244875289,0.16998275294072102
策略C (动态门控网络),0.05389253520679337,0.0764189539416037,128.47013924930877,0.9590881183104738,0.1283595964653719,0.0896677637209977
